id	m_country_code	m_province_code	current_salary	m_current_currency_code	expected_salary	m_currency_code	years_of_experience	is_full_registration	vn_job_category_code	vn_job_sub_category_code	vn_job_category_code	vn_job_sub_category_code	m_position_code	m_country_code	m_province_code
106721	VN	VN-SG	10000000	VND	16000000	VND	4	1	4	17	NULL	NULL	NULL	VN	VN-DN
106721	VN	VN-SG	10000000	VND	16000000	VND	4	1	4	17	NULL	NULL	NULL	VN	VN-SG
106724	VN	VN-SG	60000000	VND	NULL	VND	28	1	2	8	NULL	NULL	NULL	VN	VN-SG
106735	VN	VN-SG	700	USD	900	USD	4	1	13	70	6	25	1	VN	VN-DN
106735	VN	VN-SG	700	USD	900	USD	4	1	13	70	6	25	1	VN	VN-SG
106735	VN	VN-SG	700	USD	900	USD	4	1	13	70	6	25	1	VN	VN-DN
106735	VN	VN-SG	700	USD	900	USD	4	1	13	70	6	25	1	VN	VN-SG
106735	VN	VN-SG	700	USD	900	USD	4	1	13	74	6	25	1	VN	VN-DN
106735	VN	VN-SG	700	USD	900	USD	4	1	13	74	6	25	1	VN	VN-SG
106735	VN	VN-SG	700	USD	900	USD	4	1	13	74	6	25	1	VN	VN-DN
106735	VN	VN-SG	700	USD	900	USD	4	1	13	74	6	25	1	VN	VN-SG
106750	VN	VN-SG	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	12	60	1	NULL	NULL
106751	VN	VN-HP	12000000	VND	NULL	VND	NULL	0	12	58	NULL	NULL	NULL	VN	VN-HP
106751	VN	VN-HP	12000000	VND	NULL	VND	NULL	0	12	65	NULL	NULL	NULL	VN	VN-HP
106766	VN	VN-SG	1300000	VND	3000000	VND	0	0	13	69	NULL	NULL	NULL	VN	VN-SG
106766	VN	VN-SG	1300000	VND	3000000	VND	0	0	13	71	NULL	NULL	NULL	VN	VN-SG
106766	VN	VN-SG	1300000	VND	3000000	VND	0	0	13	73	NULL	NULL	NULL	VN	VN-SG
106766	VN	VN-SG	1300000	VND	3000000	VND	0	0	13	74	NULL	NULL	NULL	VN	VN-SG
106780	VN	VN-SG	8000000	VND	9000000	VND	6	0	16	91	NULL	NULL	NULL	VN	VN-SG
106782	VN	VN-HN	1200	USD	1200	USD	5	1	13	69	13	74	4	VN	VN-HN
106782	VN	VN-HN	1200	USD	1200	USD	5	1	13	69	13	74	4	VN	VN-HN
106782	VN	VN-HN	1200	USD	1200	USD	5	1	13	70	13	74	4	VN	VN-HN
